timestamp,main_loop_flowrate_lpm,discharge_pressure_1_kpa,discharge_pressure_2_kpa
2025-08-17T14:30:00.000Z,15.33,40.7,23
2025-08-17T14:30:00.250Z,23.21,56.4,34.8
2025-08-17T14:30:00.500Z,24.29,58.6,36.4
2025-08-17T14:30:00.750Z,21.08,52.2,31.6
2025-08-17T14:30:01.000Z,15.15,40.3,22.7
2025-08-17T14:30:01.250Z,19.98,50,30
2025-08-17T14:30:01.500Z,22.49,55,33.7
2025-08-17T14:30:01.750Z,21.47,52.9,32.2
2025-08-17T14:30:02.000Z,17.24,44.5,25.9
2025-08-17T14:30:02.250Z,24.55,59.1,36.8
2025-08-17T14:30:02.500Z,16.24,42.5,24.4
2025-08-17T14:30:02.750Z,24.06,58.1,36.1
2025-08-17T14:30:03.000Z,22.22,54.4,33.3
2025-08-17T14:30:03.250Z,18.8,47.6,28.2
2025-08-17T14:30:03.500Z,21.03,52.1,31.5
2025-08-17T14:30:03.750Z,16.98,44,25.5
2025-08-17T14:30:04.000Z,18.05,46.1,27.1
2025-08-17T14:30:04.250Z,22.21,54.4,33.3
2025-08-17T14:30:04.500Z,22.74,55.5,34.1
2025-08-17T14:30:04.750Z,20.48,51,30.7
2025-08-17T14:30:05.000Z,22.66,55.3,34
2025-08-17T14:30:05.250Z,16.4,42.8,24.6
2025-08-17T14:30:05.500Z,19.93,49.9,29.9
2025-08-17T14:30:05.750Z,15.13,40.3,22.7
2025-08-17T14:30:06.000Z,16.84,43.7,25.3
2025-08-17T14:30:06.250Z,17.35,44.7,26
2025-08-17T14:30:06.500Z,24.03,58.1,36
2025-08-17T14:30:06.750Z,21.58,53.2,32.4
2025-08-17T14:30:07.000Z,16.25,42.5,24.4
2025-08-17T14:30:07.250Z,21.81,53.6,32.7
2025-08-17T14:30:07.500Z,24.92,59.8,37.4
2025-08-17T14:30:07.750Z,18.16,46.3,27.2
2025-08-17T14:30:08.000Z,17.82,45.6,26.7
2025-08-17T14:30:08.250Z,21.38,52.8,32.1
2025-08-17T14:30:08.500Z,19.29,48.6,28.9
2025-08-17T14:30:08.750Z,20.21,50.4,30.3
2025-08-17T14:30:09.000Z,22.64,55.3,34
2025-08-17T14:30:09.250Z,18.2,46.4,27.3
2025-08-17T14:30:09.500Z,15.69,41.4,23.5
2025-08-17T14:30:09.750Z,18.59,47.2,27.9
2025-08-17T14:30:10.000Z,18.63,47.3,27.9
2025-08-17T14:30:10.250Z,21.66,53.3,32.5
2025-08-17T14:30:10.500Z,24.1,58.2,36.1
2025-08-17T14:30:10.750Z,23.89,57.8,35.8
2025-08-17T14:30:11.000Z,22.63,55.3,34
2025-08-17T14:30:11.250Z,24.82,59.6,37.2
2025-08-17T14:30:11.500Z,19.14,48.3,28.7
2025-08-17T14:30:11.750Z,17.33,44.7,26
2025-08-17T14:30:12.000Z,18.63,47.3,27.9
2025-08-17T14:30:12.250Z,23.58,57.2,35.4
2025-08-17T14:30:12.500Z,18.82,47.6,28.2
2025-08-17T14:30:12.750Z,22.35,54.7,33.5
2025-08-17T14:30:13.000Z,17.48,45,26.2
2025-08-17T14:30:13.250Z,17.85,45.7,26.8
2025-08-17T14:30:13.500Z,23.79,57.6,35.7
2025-08-17T14:30:13.750Z,19.36,48.7,29
2025-08-17T14:30:14.000Z,23.93,57.9,35.9
2025-08-17T14:30:14.250Z,17.3,44.6,25.9
2025-08-17T14:30:14.500Z,20.96,51.9,31.4
2025-08-17T14:30:14.750Z,24.51,59,36.8
2025-08-17T14:30:15.000Z,21.29,52.6,31.9
2025-08-17T14:30:15.250Z,17.09,44.2,25.6
2025-08-17T14:30:15.500Z,16.54,43.1,24.8
2025-08-17T14:30:15.750Z,18.63,47.3,27.9
2025-08-17T14:30:16.000Z,16.85,43.7,25.3
2025-08-17T14:30:16.250Z,17,44,25.5
2025-08-17T14:30:16.500Z,24.34,58.7,36.5
2025-08-17T14:30:16.750Z,16.38,42.8,24.6
2025-08-17T14:30:17.000Z,24.11,58.2,36.2
2025-08-17T14:30:17.250Z,20.46,50.9,30.7
2025-08-17T14:30:17.500Z,22.8,55.6,34.2
2025-08-17T14:30:17.750Z,20.06,50.1,30.1
2025-08-17T14:30:18.000Z,15.79,41.6,23.7
2025-08-17T14:30:18.250Z,22.21,54.4,33.3
2025-08-17T14:30:18.500Z,24.14,58.3,36.2
2025-08-17T14:30:18.750Z,24.55,59.1,36.8
2025-08-17T14:30:19.000Z,20.68,51.4,31
2025-08-17T14:30:19.250Z,24.43,58.9,36.6
2025-08-17T14:30:19.500Z,23.39,56.8,35.1
2025-08-17T14:30:19.750Z,15.58,41.2,23.4
2025-08-17T14:30:20.000Z,20.5,51,30.7
2025-08-17T14:30:20.250Z,24.13,58.3,36.2
2025-08-17T14:30:20.500Z,18.26,46.5,27.4
2025-08-17T14:30:20.750Z,15.44,40.9,23.2
2025-08-17T14:30:21.000Z,19.98,50,30
2025-08-17T14:30:21.250Z,15.73,41.5,23.6
2025-08-17T14:30:21.500Z,18.82,47.6,28.2
2025-08-17T14:30:21.750Z,20.21,50.4,30.3
2025-08-17T14:30:22.000Z,18.3,46.6,27.5
2025-08-17T14:30:22.250Z,18.42,46.8,27.6
2025-08-17T14:30:22.500Z,23.03,56.1,34.5
2025-08-17T14:30:22.750Z,23.67,57.3,35.5
2025-08-17T14:30:23.000Z,17.98,46,27
2025-08-17T14:30:23.250Z,22.98,56,34.5
2025-08-17T14:30:23.500Z,16.85,43.7,25.3
2025-08-17T14:30:23.750Z,15.23,40.5,22.8
2025-08-17T14:30:24.000Z,15.97,41.9,24
2025-08-17T14:30:24.250Z,22.62,55.2,33.9
2025-08-17T14:30:24.500Z,20.9,51.8,31.3
2025-08-17T14:30:24.750Z,22.77,55.5,34.2
2025-08-17T14:30:25.000Z,20.62,51.2,30.9
2025-08-17T14:30:25.250Z,18.56,47.1,27.8
2025-08-17T14:30:25.500Z,19.24,48.5,28.9
2025-08-17T14:30:25.750Z,16.9,43.8,25.3
2025-08-17T14:30:26.000Z,19.41,48.8,29.1
2025-08-17T14:30:26.250Z,21.16,52.3,31.7
2025-08-17T14:30:26.500Z,17.78,45.6,26.7
2025-08-17T14:30:26.750Z,24.21,58.4,36.3
2025-08-17T14:30:27.000Z,19.1,48.2,28.6
2025-08-17T14:30:27.250Z,18.66,47.3,28
2025-08-17T14:30:27.500Z,22.73,55.5,34.1
2025-08-17T14:30:27.750Z,22.79,55.6,34.2
2025-08-17T14:30:28.000Z,21.36,52.7,32
2025-08-17T14:30:28.250Z,21.31,52.6,32
2025-08-17T14:30:28.500Z,21.19,52.4,31.8
2025-08-17T14:30:28.750Z,18.12,46.2,27.2
2025-08-17T14:30:29.000Z,15.21,40.4,22.8
2025-08-17T14:30:29.250Z,18.94,47.9,28.4
2025-08-17T14:30:29.500Z,21.43,52.9,32.1
2025-08-17T14:30:29.750Z,20.67,51.3,31
2025-08-17T14:30:30.000Z,23.57,57.1,35.4
2025-08-17T14:30:30.250Z,23.25,56.5,34.9
2025-08-17T14:30:30.500Z,23.16,56.3,34.7
2025-08-17T14:30:30.750Z,18.06,46.1,27.1
2025-08-17T14:30:31.000Z,17.32,44.6,26
2025-08-17T14:30:31.250Z,17.38,44.8,26.1
2025-08-17T14:30:31.500Z,23.91,57.8,35.9
2025-08-17T14:30:31.750Z,18.29,46.6,27.4
2025-08-17T14:30:32.000Z,22.88,55.8,34.3
2025-08-17T14:30:32.250Z,18.76,47.5,28.1
2025-08-17T14:30:32.500Z,21.97,53.9,33
2025-08-17T14:30:32.750Z,19.21,48.4,28.8
2025-08-17T14:30:33.000Z,20.15,50.3,30.2
2025-08-17T14:30:33.250Z,22.01,54,33
2025-08-17T14:30:33.500Z,21.09,52.2,31.6
2025-08-17T14:30:33.750Z,23.26,56.5,34.9
2025-08-17T14:30:34.000Z,18.59,47.2,27.9
2025-08-17T14:30:34.250Z,23.27,56.5,34.9
2025-08-17T14:30:34.500Z,21.15,52.3,31.7
2025-08-17T14:30:34.750Z,15.5,41,23.2
2025-08-17T14:30:35.000Z,17.59,45.2,26.4
2025-08-17T14:30:35.250Z,20.87,51.7,31.3
2025-08-17T14:30:35.500Z,23.99,58,36
2025-08-17T14:30:35.750Z,18.69,47.4,28
2025-08-17T14:30:36.000Z,18.93,47.9,28.4
2025-08-17T14:30:36.250Z,15.8,41.6,23.7
2025-08-17T14:30:36.500Z,19.49,49,29.2
2025-08-17T14:30:36.750Z,18.22,46.4,27.3
2025-08-17T14:30:37.000Z,19.42,48.8,29.1
2025-08-17T14:30:37.250Z,17.18,44.4,25.8
2025-08-17T14:30:37.500Z,19.79,49.6,29.7
2025-08-17T14:30:37.750Z,16.73,43.5,25.1
2025-08-17T14:30:38.000Z,15.9,41.8,23.8
2025-08-17T14:30:38.250Z,22.02,54,33
2025-08-17T14:30:38.500Z,22.53,55.1,33.8
2025-08-17T14:30:38.750Z,16.53,43.1,24.8
2025-08-17T14:30:39.000Z,19.42,48.8,29.1
2025-08-17T14:30:39.250Z,15.8,41.6,23.7
2025-08-17T14:30:39.500Z,18.83,47.7,28.2
2025-08-17T14:30:39.750Z,18.09,46.2,27.1
2025-08-17T14:30:40.000Z,24,58,36
2025-08-17T14:30:40.250Z,23.68,57.4,35.5
2025-08-17T14:30:40.500Z,16.47,42.9,24.7
2025-08-17T14:30:40.750Z,24.66,59.3,37
2025-08-17T14:30:41.000Z,18.39,46.8,27.6
2025-08-17T14:30:41.250Z,15.62,41.2,23.4
2025-08-17T14:30:41.500Z,22.56,55.1,33.8
2025-08-17T14:30:41.750Z,15.36,40.7,23
2025-08-17T14:30:42.000Z,20.76,51.5,31.1
2025-08-17T14:30:42.250Z,19.97,49.9,29.9
2025-08-17T14:30:42.500Z,19.16,48.3,28.7
2025-08-17T14:30:42.750Z,16.29,42.6,24.4
2025-08-17T14:30:43.000Z,16.86,43.7,25.3
2025-08-17T14:30:43.250Z,20.96,51.9,31.4
2025-08-17T14:30:43.500Z,17.96,45.9,26.9
2025-08-17T14:30:43.750Z,23.36,56.7,35
2025-08-17T14:30:44.000Z,15.93,41.9,23.9
2025-08-17T14:30:44.250Z,21.48,53,32.2
2025-08-17T14:30:44.500Z,21.19,52.4,31.8
2025-08-17T14:30:44.750Z,20.29,50.6,30.4
2025-08-17T14:30:45.000Z,22.68,55.4,34
2025-08-17T14:30:45.250Z,22.68,55.4,34
2025-08-17T14:30:45.500Z,20.55,51.1,30.8
2025-08-17T14:30:45.750Z,24.42,58.8,36.6
2025-08-17T14:30:46.000Z,23.04,56.1,34.6
2025-08-17T14:30:46.250Z,23.37,56.7,35.1
2025-08-17T14:30:46.500Z,19.25,48.5,28.9
2025-08-17T14:30:46.750Z,19.08,48.2,28.6
2025-08-17T14:30:47.000Z,16.74,43.5,25.1
2025-08-17T14:30:47.250Z,17.95,45.9,26.9
2025-08-17T14:30:47.500Z,15.29,40.6,22.9
2025-08-17T14:30:47.750Z,21.88,53.8,32.8
2025-08-17T14:30:48.000Z,23.49,57,35.2
2025-08-17T14:30:48.250Z,17.29,44.6,25.9
2025-08-17T14:30:48.500Z,22.12,54.2,33.2
2025-08-17T14:30:48.750Z,22.88,55.8,34.3
2025-08-17T14:30:49.000Z,24.99,60,37.5
2025-08-17T14:30:49.250Z,16.43,42.9,24.6
2025-08-17T14:30:49.500Z,20.69,51.4,31
2025-08-17T14:30:49.750Z,19.5,49,29.2
2025-08-17T14:30:50.000Z,15.01,40,22.5
2025-08-17T14:30:50.250Z,20.84,51.7,31.3
2025-08-17T14:30:50.500Z,22.88,55.8,34.3
2025-08-17T14:30:50.750Z,19.92,49.8,29.9
2025-08-17T14:30:51.000Z,18.07,46.1,27.1
2025-08-17T14:30:51.250Z,22.7,55.4,34.1
2025-08-17T14:30:51.500Z,17.02,44,25.5
2025-08-17T14:30:51.750Z,23.92,57.8,35.9
2025-08-17T14:30:52.000Z,20.56,51.1,30.8
2025-08-17T14:30:52.250Z,16.89,43.8,25.3
2025-08-17T14:30:52.500Z,17.45,44.9,26.2
2025-08-17T14:30:52.750Z,24.78,59.6,37.2
2025-08-17T14:30:53.000Z,21.6,53.2,32.4
2025-08-17T14:30:53.250Z,15.95,41.9,23.9
2025-08-17T14:30:53.500Z,22.07,54.1,33.1
2025-08-17T14:30:53.750Z,18.27,46.5,27.4
2025-08-17T14:30:54.000Z,15.09,40.2,22.6
2025-08-17T14:30:54.250Z,17.36,44.7,26
2025-08-17T14:30:54.500Z,17.73,45.5,26.6
2025-08-17T14:30:54.750Z,18.68,47.4,28
2025-08-17T14:30:55.000Z,20.94,51.9,31.4
2025-08-17T14:30:55.250Z,20.2,50.4,30.3
2025-08-17T14:30:55.500Z,24.56,59.1,36.8
2025-08-17T14:30:55.750Z,22.77,55.5,34.2
2025-08-17T14:30:56.000Z,23.6,57.2,35.4
2025-08-17T14:30:56.250Z,16.46,42.9,24.7
2025-08-17T14:30:56.500Z,17.29,44.6,25.9
2025-08-17T14:30:56.750Z,18.93,47.9,28.4
2025-08-17T14:30:57.000Z,22.62,55.2,33.9
2025-08-17T14:30:57.250Z,16.71,43.4,25.1
2025-08-17T14:30:57.500Z,19.96,49.9,29.9
2025-08-17T14:30:57.750Z,18.06,46.1,27.1
2025-08-17T14:30:58.000Z,17.78,45.6,26.7
2025-08-17T14:30:58.250Z,19.93,49.9,29.9
2025-08-17T14:30:58.500Z,23.27,56.5,34.9
2025-08-17T14:30:58.750Z,23.43,56.9,35.1
2025-08-17T14:30:59.000Z,21.97,53.9,33
2025-08-17T14:30:59.250Z,17.61,45.2,26.4
2025-08-17T14:30:59.500Z,20.29,50.6,30.4
2025-08-17T14:30:59.750Z,24.95,59.9,37.4
2025-08-17T14:31:00.000Z,24.78,59.6,37.2
2025-08-17T14:31:00.250Z,17.8,45.6,26.7
2025-08-17T14:31:00.500Z,23.67,57.3,35.5
2025-08-17T14:31:00.750Z,16.4,42.8,24.6
2025-08-17T14:31:01.000Z,20.05,50.1,30.1
2025-08-17T14:31:01.250Z,16.13,42.3,24.2
2025-08-17T14:31:01.500Z,17.33,44.7,26
2025-08-17T14:31:01.750Z,19.33,48.7,29
2025-08-17T14:31:02.000Z,19.31,48.6,29
2025-08-17T14:31:02.250Z,22.88,55.8,34.3
2025-08-17T14:31:02.500Z,23.98,58,36
2025-08-17T14:31:02.750Z,15.96,41.9,23.9
2025-08-17T14:31:03.000Z,17.21,44.4,25.8
2025-08-17T14:31:03.250Z,20.24,50.5,30.4
2025-08-17T14:31:03.500Z,21.77,53.5,32.7
2025-08-17T14:31:03.750Z,20.73,51.5,31.1
2025-08-17T14:31:04.000Z,19.95,49.9,29.9
2025-08-17T14:31:04.250Z,21.49,53,32.2
