timestamp,oil_flowrate_lpm,oil_temp_supply_c,oil_pressure_kpa,oil_temp_cooled_c
2025-08-17T14:30:00.000Z,15.23,89.37,192.02,81.31
2025-08-17T14:30:00.250Z,11.17,89.92,183.74,80.48
2025-08-17T14:30:00.500Z,17.09,87.67,185.71,81.11
2025-08-17T14:30:00.750Z,11.2,86.63,180.01,82.27
2025-08-17T14:30:01.000Z,16.65,87.42,188.3,82.55
2025-08-17T14:30:01.250Z,15.58,90.04,190.95,83.04
2025-08-17T14:30:01.500Z,11.91,87.73,188.58,81.42
2025-08-17T14:30:01.750Z,11.45,90.08,185.92,83.21
2025-08-17T14:30:02.000Z,15.62,90.37,184.21,82.02
2025-08-17T14:30:02.250Z,16.35,89.57,185.05,80.09
2025-08-17T14:30:02.500Z,11.1,86.06,183.35,81.26
2025-08-17T14:30:02.750Z,15.56,86.92,186.86,82.18
2025-08-17T14:30:03.000Z,17.93,89.38,186.4,80.26
2025-08-17T14:30:03.250Z,18.8,88.54,191.72,82.47
2025-08-17T14:30:03.500Z,18.55,85.49,189.28,83.36
2025-08-17T14:30:03.750Z,11.57,88.65,178.8,81.66
2025-08-17T14:30:04.000Z,13.72,86.96,181.84,81.91
2025-08-17T14:30:04.250Z,15.19,89.24,182.21,80.24
2025-08-17T14:30:04.500Z,12.64,85.19,177.73,83.94
2025-08-17T14:30:04.750Z,15.81,89.05,180.17,81.53
2025-08-17T14:30:05.000Z,13.72,86.65,184.6,82.38
2025-08-17T14:30:05.250Z,14.03,88.44,189.1,83.63
2025-08-17T14:30:05.500Z,13.83,89.17,188.13,80.79
2025-08-17T14:30:05.750Z,13.47,90.25,188.08,81.81
2025-08-17T14:30:06.000Z,17.98,89.2,179.25,83.18
2025-08-17T14:30:06.250Z,16.72,86.35,181.1,83.97
2025-08-17T14:30:06.500Z,14.41,90.47,189.63,83.46
2025-08-17T14:30:06.750Z,14.62,90.26,190.87,81.62
2025-08-17T14:30:07.000Z,11.94,86.13,192.02,82.92
2025-08-17T14:30:07.250Z,12.68,90.48,190.52,83.11
2025-08-17T14:30:07.500Z,14.34,88.15,188.99,80.1
2025-08-17T14:30:07.750Z,17.3,86.41,192.04,82.73
2025-08-17T14:30:08.000Z,11.91,89.12,185.36,81.55
2025-08-17T14:30:08.250Z,13.16,87.2,192.38,82.58
2025-08-17T14:30:08.500Z,16.84,88.04,179.24,83.44
2025-08-17T14:30:08.750Z,12.17,87.19,190.85,80.65
2025-08-17T14:30:09.000Z,18.64,90.7,181.41,83.62
2025-08-17T14:30:09.250Z,13.32,86.87,191.07,81.4
2025-08-17T14:30:09.500Z,13.54,86.52,177.62,80
2025-08-17T14:30:09.750Z,15.37,87.34,185.98,83.9
2025-08-17T14:30:10.000Z,12.03,90.23,189.03,80.69
2025-08-17T14:30:10.250Z,11.52,89.82,187.11,81
2025-08-17T14:30:10.500Z,18.16,90.1,185.89,83.81
2025-08-17T14:30:10.750Z,18.77,87.02,186.3,83.27
2025-08-17T14:30:11.000Z,11.73,85.79,178.36,83.33
2025-08-17T14:30:11.250Z,13.41,85.58,179.51,81.37
2025-08-17T14:30:11.500Z,15.65,87.57,178.35,81.09
2025-08-17T14:30:11.750Z,11.22,85.77,184.05,80.71
2025-08-17T14:30:12.000Z,12.14,89.96,189.34,82.72
2025-08-17T14:30:12.250Z,14.29,89.41,185.41,81.32
2025-08-17T14:30:12.500Z,12.15,87.73,191.22,83.72
2025-08-17T14:30:12.750Z,11.55,88.01,191.9,80.84
2025-08-17T14:30:13.000Z,16.7,87.25,190.79,80.18
2025-08-17T14:30:13.250Z,16.43,86.06,184.29,80.82
2025-08-17T14:30:13.500Z,17.45,90.93,179.19,83.73
2025-08-17T14:30:13.750Z,15.28,89.17,190.99,80.53
2025-08-17T14:30:14.000Z,17.94,88.54,188.85,83.56
2025-08-17T14:30:14.250Z,17.61,89.34,181.53,81.48
2025-08-17T14:30:14.500Z,18.12,87.81,187.41,82.06
2025-08-17T14:30:14.750Z,12.66,86.15,179.04,83.01
2025-08-17T14:30:15.000Z,15,86.56,190.01,83.14
2025-08-17T14:30:15.250Z,12.35,88,186.92,81.52
2025-08-17T14:30:15.500Z,11.45,88.61,185.06,83.62
2025-08-17T14:30:15.750Z,15.7,87.1,188.75,81.9
2025-08-17T14:30:16.000Z,18.04,85.94,180.33,80.99
2025-08-17T14:30:16.250Z,16.83,87.85,181.71,81.2
2025-08-17T14:30:16.500Z,11.92,87.37,191.89,81.61
2025-08-17T14:30:16.750Z,11.55,86.79,183.58,81.97
2025-08-17T14:30:17.000Z,17.43,87.07,190.53,83.49
2025-08-17T14:30:17.250Z,14.49,86.37,191.32,80.67
2025-08-17T14:30:17.500Z,11.79,87.91,189.16,83.11
2025-08-17T14:30:17.750Z,15.29,88.43,191.94,80.09
2025-08-17T14:30:18.000Z,18.83,90.46,181.31,81.02
2025-08-17T14:30:18.250Z,15.29,88.08,179.03,81.37
2025-08-17T14:30:18.500Z,14.88,85.69,186.29,80.2
2025-08-17T14:30:18.750Z,13.91,87.09,178.08,83.49
2025-08-17T14:30:19.000Z,15.71,86.13,178.67,82
2025-08-17T14:30:19.250Z,12.02,85.85,179.83,82.98
2025-08-17T14:30:19.500Z,13.89,88.6,182.16,80.48
2025-08-17T14:30:19.750Z,12.01,88.95,187.67,80.92
2025-08-17T14:30:20.000Z,18.42,86.26,181.44,80.75
2025-08-17T14:30:20.250Z,12.75,90.54,188.23,81.34
2025-08-17T14:30:20.500Z,17.74,85.96,187.69,80.77
2025-08-17T14:30:20.750Z,14.7,85.7,181.94,82.64
2025-08-17T14:30:21.000Z,18.89,88.27,181.62,83.9
2025-08-17T14:30:21.250Z,16.52,85.23,189.32,82.88
2025-08-17T14:30:21.500Z,11.94,89.77,186.12,81.25
2025-08-17T14:30:21.750Z,11.22,86.9,190.17,82.92
2025-08-17T14:30:22.000Z,14.31,90.86,178.86,80.44
2025-08-17T14:30:22.250Z,15.97,85.1,190.8,83.34
2025-08-17T14:30:22.500Z,15.09,88.06,184.97,83.78
2025-08-17T14:30:22.750Z,11.26,88.17,183.66,80.89
2025-08-17T14:30:23.000Z,18.59,85.56,177.68,83.1
2025-08-17T14:30:23.250Z,14.7,88.65,184.34,82.71
2025-08-17T14:30:23.500Z,16.84,89.71,182.91,82.84
2025-08-17T14:30:23.750Z,15.37,89.93,190.44,80.58
2025-08-17T14:30:24.000Z,17.2,89.45,189,82.41
2025-08-17T14:30:24.250Z,11.64,90.81,191.18,80.6
2025-08-17T14:30:24.500Z,11.1,89.76,191.89,83.98
2025-08-17T14:30:24.750Z,12.09,90.51,181.2,81.59
2025-08-17T14:30:25.000Z,14.21,90.69,182.75,81.75
2025-08-17T14:30:25.250Z,12.16,86.59,188.68,82.63
2025-08-17T14:30:25.500Z,12.45,86.31,184.98,80.61
2025-08-17T14:30:25.750Z,12.7,90.05,181.59,81.36
2025-08-17T14:30:26.000Z,18.46,86.37,181.98,82.31
2025-08-17T14:30:26.250Z,14.51,86.22,188.59,83.47
2025-08-17T14:30:26.500Z,12.59,88.96,191.99,82.27
2025-08-17T14:30:26.750Z,13.99,88.93,187.46,83.38
2025-08-17T14:30:27.000Z,17.37,89.15,187.3,82.89
2025-08-17T14:30:27.250Z,13.83,90.85,190.23,83.12
2025-08-17T14:30:27.500Z,14.55,88.25,178.58,82.54
2025-08-17T14:30:27.750Z,11.86,88.89,179.43,80.19
2025-08-17T14:30:28.000Z,13.09,87.27,177.52,81.06
2025-08-17T14:30:28.250Z,17.67,85.67,177.99,80.5
2025-08-17T14:30:28.500Z,15.72,85.07,177.91,80.33
2025-08-17T14:30:28.750Z,16.83,88.42,186.04,80.25
2025-08-17T14:30:29.000Z,13.29,90.47,188.1,80.64
2025-08-17T14:30:29.250Z,11.51,87.88,184.5,81.79
2025-08-17T14:30:29.500Z,18.21,85.28,184.17,80.89
2025-08-17T14:30:29.750Z,15.37,85.29,185.82,81.3
2025-08-17T14:30:30.000Z,16.62,85.42,191.3,82.1
2025-08-17T14:30:30.250Z,15.41,90.09,185.23,82.2
2025-08-17T14:30:30.500Z,15.91,86.28,181.85,81.75
2025-08-17T14:30:30.750Z,15.08,86.83,188.88,80.23
2025-08-17T14:30:31.000Z,16.72,86.65,188.4,81.02
2025-08-17T14:30:31.250Z,17.52,86.73,181.78,83.96
2025-08-17T14:30:31.500Z,15.18,86.48,189.67,82.41
2025-08-17T14:30:31.750Z,14.95,89.66,180.12,80.37
2025-08-17T14:30:32.000Z,17.92,85.78,186.04,82.13
2025-08-17T14:30:32.250Z,12.02,86.68,183.95,80.33
2025-08-17T14:30:32.500Z,14.55,90.57,180.17,82.58
2025-08-17T14:30:32.750Z,17.47,86.91,192.49,83.58
2025-08-17T14:30:33.000Z,15.26,88.41,183.06,81.84
2025-08-17T14:30:33.250Z,13.13,89.85,188.62,82.11
2025-08-17T14:30:33.500Z,18.09,88.9,190.63,80.88
2025-08-17T14:30:33.750Z,12.04,86.03,188.56,80.28
2025-08-17T14:30:34.000Z,12.4,86.57,181.02,80.84
2025-08-17T14:30:34.250Z,15.46,89.55,180.38,82.74
2025-08-17T14:30:34.500Z,18.45,90.7,185.7,80.03
2025-08-17T14:30:34.750Z,18.82,89.59,181.46,80.91
2025-08-17T14:30:35.000Z,16.15,89.17,185.58,80.37
2025-08-17T14:30:35.250Z,14.54,85.62,188.59,81.94
2025-08-17T14:30:35.500Z,11.25,85.7,186.54,81.07
2025-08-17T14:30:35.750Z,17.21,88.28,179.24,81.4
2025-08-17T14:30:36.000Z,15.99,87.68,184.23,82.06
2025-08-17T14:30:36.250Z,18.79,87.92,187.13,83.01
2025-08-17T14:30:36.500Z,13.6,88.22,187.19,81.54
2025-08-17T14:30:36.750Z,13.61,85.28,182.09,81.35
2025-08-17T14:30:37.000Z,16.54,86.03,187.66,81.39
2025-08-17T14:30:37.250Z,12.91,90.35,180.34,82.12
2025-08-17T14:30:37.500Z,14.99,86.56,188.61,81.78
2025-08-17T14:30:37.750Z,11.92,85.7,180.94,82.62
2025-08-17T14:30:38.000Z,13.21,88.11,184.27,83.35
2025-08-17T14:30:38.250Z,18,86.39,190.88,81.17
2025-08-17T14:30:38.500Z,11.88,88.27,186.76,83.53
2025-08-17T14:30:38.750Z,12.22,90.78,188.27,83.46
2025-08-17T14:30:39.000Z,16.25,86.01,191.21,80.1
2025-08-17T14:30:39.250Z,11.49,88.43,188.8,80.09
2025-08-17T14:30:39.500Z,18.18,90.95,182.04,83.11
2025-08-17T14:30:39.750Z,15.44,88.33,184.24,81.42
2025-08-17T14:30:40.000Z,11.13,87.72,184.47,83.73
2025-08-17T14:30:40.250Z,14.91,86.6,192.5,83.41
2025-08-17T14:30:40.500Z,18.28,88.44,188.51,82.73
2025-08-17T14:30:40.750Z,16.79,88.62,185.25,80.36
2025-08-17T14:30:41.000Z,11.01,88.58,184.41,80.66
2025-08-17T14:30:41.250Z,13.21,90.25,183.73,83.57
2025-08-17T14:30:41.500Z,17.04,85.04,187.5,82.38
2025-08-17T14:30:41.750Z,13.73,85.85,192.12,83.44
2025-08-17T14:30:42.000Z,18.01,89.58,187.77,80.95
2025-08-17T14:30:42.250Z,16.46,88.49,182.3,82.88
2025-08-17T14:30:42.500Z,16.72,89.98,180.05,82.95
2025-08-17T14:30:42.750Z,17.15,89.79,186.92,81.73
2025-08-17T14:30:43.000Z,15.72,87.93,184.09,83.46
2025-08-17T14:30:43.250Z,15.07,86.85,190.63,80.63
2025-08-17T14:30:43.500Z,13.64,88.36,180.37,81.23
2025-08-17T14:30:43.750Z,11.53,88.36,188.91,82.34
2025-08-17T14:30:44.000Z,17.62,88.47,188.3,81.47
2025-08-17T14:30:44.250Z,16.42,85.08,189.11,83.66
2025-08-17T14:30:44.500Z,15.27,90.97,187.11,80.24
2025-08-17T14:30:44.750Z,18.87,88.3,182.84,83.89
2025-08-17T14:30:45.000Z,12.37,89.41,185.79,80.07
2025-08-17T14:30:45.250Z,16.82,86.16,187.13,80.09
2025-08-17T14:30:45.500Z,13.84,88.21,187.67,80.7
2025-08-17T14:30:45.750Z,11.16,86.46,180.61,82.17
2025-08-17T14:30:46.000Z,18.3,86.65,180.18,83.43
2025-08-17T14:30:46.250Z,14.88,89.62,181.29,82.8
2025-08-17T14:30:46.500Z,18.83,88.82,177.72,80.12
2025-08-17T14:30:46.750Z,15.66,90.74,182.38,82.29
2025-08-17T14:30:47.000Z,12.88,85.95,180.56,82.65
2025-08-17T14:30:47.250Z,14.84,90.62,182.67,82.23
2025-08-17T14:30:47.500Z,16.7,87.45,187.98,82.63
2025-08-17T14:30:47.750Z,16.58,88.95,180.01,80.75
2025-08-17T14:30:48.000Z,11.46,85.03,188.5,81.86
2025-08-17T14:30:48.250Z,12.56,87.56,189.18,81.18
2025-08-17T14:30:48.500Z,18.01,88.24,189.97,83.72
2025-08-17T14:30:48.750Z,15.12,87.69,183.94,82.62
2025-08-17T14:30:49.000Z,15.39,87.43,179.42,80.87
2025-08-17T14:30:49.250Z,14.83,87.23,186.81,83.26
2025-08-17T14:30:49.500Z,14.22,86.83,191.17,83.57
2025-08-17T14:30:49.750Z,14.05,87.4,185.49,82.41
2025-08-17T14:30:50.000Z,14.22,89.35,182.37,83
2025-08-17T14:30:50.250Z,14.95,87.2,185.35,81.11
2025-08-17T14:30:50.500Z,15.69,88.05,187.94,81.7
2025-08-17T14:30:50.750Z,16.47,86.05,178.02,80.89
2025-08-17T14:30:51.000Z,18.12,87.43,186.81,83.08
2025-08-17T14:30:51.250Z,17.75,88.54,182.87,80.37
2025-08-17T14:30:51.500Z,12.84,86.04,192.16,80.57
2025-08-17T14:30:51.750Z,12.45,88.64,186.64,83.14
2025-08-17T14:30:52.000Z,11.94,85.9,188.48,81.4
2025-08-17T14:30:52.250Z,16.97,87.81,190.91,82.66
2025-08-17T14:30:52.500Z,16.59,87.21,182.16,81.75
2025-08-17T14:30:52.750Z,13.27,87.44,179.16,83.11
2025-08-17T14:30:53.000Z,18.37,85.34,180.6,80.04
2025-08-17T14:30:53.250Z,17.73,89.08,183.53,82.1
2025-08-17T14:30:53.500Z,16.55,90.03,178.92,81.83
2025-08-17T14:30:53.750Z,12.27,89.69,181.51,81.92
2025-08-17T14:30:54.000Z,17.75,85.67,188.01,80.99
