TagName	TagIndex	TagType	TagDataType
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\VFD_CNTRL_TAGS\D1001VFDStop	0	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\VFD_CNTRL_TAGS\D1001VFDStopSpeedSetpoint	1	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\PE_Lube_Tags\D2001PELubePumpMtr1Stop	2	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Outputs\D1001DriveRunCommandDO	3	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Outputs\D1001DriveSpeedReferenceAO_ENG	4	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Outputs\D1002ChargePumpDriveSpeedReferenceAO_ENG	5	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Outputs\D2001PELubePumpDriveSpeedReferenceAO_ENG	6	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Outputs\D1002ChargePumpVFDRunCommandDO	7	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Outputs\D2001PELubePumpVFDRunCommandDO	8	3	-1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\CV1001PositionFeedbackAI_ENG	9	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\CV1002PositionFeedbackAI_ENG	10	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\D1001MotorSpeedAI_ENG	11	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\D1001MotorTorqueAI_ENG	12	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\D1002ChargePumpSpeedAI_ENG	13	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\D1002ChargePumpTorqueAI_ENG	14	2	0
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\D2001PELubePumpDriveSpeedAI_ENG	15	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\FT1001MainLoopFlowrateAI_ENG	16	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\FT2001PELubeSupplyFlowAI_ENG	17	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\FT2001PELubeSupplyFlowSetpoint_ENG	18	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\LT1001MainWaterTankLevelAI_ENG	19	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\PT1001MaingPumpChargePressAI_ENG	20	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\PT1002MainPumpDischargePressAI_ENG	21	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\PT1003MainPumpDischargePressAI_ENG	22	2	1
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\PT1004ChokeCV1002PressAI_ENG	23	2	0
/LSPP_TEST_OPC_UA::[LSPP_Test_OPC_Server]\DeviceSet\WAGO 750-8210 PFC200 G2 4ETH XTR\Resources\Application\GlobalVars\Inputs\PT2001PELubeSupplyPressAI_ENG	24	2	1
